ts,run_id,generator,client_ip,method,path,payload,expected_label,attack_type,status,blocked,score,rule_score,ml_score,alerts,latency_ms,error
2026-09-09T13:08:46.267221+00:00,20260909-183845,benign,203.0.113.1,POST,/api/auth/register,username=shopper00_183845,0,none,201,0,0.0,0.0,,,365.05,
2026-09-09T13:08:46.717650+00:00,20260909-183845,benign,203.0.113.1,POST,/api/auth/login,username=shopper00_183845,0,none,200,0,0.0,0.0,,,100.15,
2026-09-09T13:08:47.166211+00:00,20260909-183845,benign,203.0.113.2,POST,/api/auth/register,username=shopper01_183845,0,none,201,0,0.0,0.0,,,97.83,
2026-09-09T13:08:47.601370+00:00,20260909-183845,benign,203.0.113.2,POST,/api/auth/login,username=shopper01_183845,0,none,200,0,0.0,0.0,,,84.79,
2026-09-09T13:08:48.063657+00:00,20260909-183845,benign,203.0.113.3,POST,/api/auth/register,username=shopper02_183845,0,none,201,0,0.0,0.0,,,111.73,
2026-09-09T13:08:48.504757+00:00,20260909-183845,benign,203.0.113.3,POST,/api/auth/login,username=shopper02_183845,0,none,200,0,0.0,0.0,,,90.43,
2026-09-09T13:08:48.960382+00:00,20260909-183845,benign,203.0.113.4,POST,/api/auth/register,username=shopper03_183845,0,none,201,0,0.0,0.0,,,105.22,
2026-09-09T13:08:49.401425+00:00,20260909-183845,benign,203.0.113.4,POST,/api/auth/login,username=shopper03_183845,0,none,200,0,0.0,0.0,,,90.45,
2026-09-09T13:08:49.862215+00:00,20260909-183845,benign,203.0.113.5,POST,/api/auth/register,username=shopper04_183845,0,none,201,0,0.0,0.0,,,109.97,
2026-09-09T13:08:50.308276+00:00,20260909-183845,benign,203.0.113.5,POST,/api/auth/login,username=shopper04_183845,0,none,200,0,0.0,0.0,,,95.73,
2026-09-09T13:08:50.750732+00:00,20260909-183845,benign,203.0.113.6,POST,/api/auth/register,username=shopper05_183845,0,none,201,0,0.0,0.0,,,91.95,
2026-09-09T13:08:51.186323+00:00,20260909-183845,benign,203.0.113.6,POST,/api/auth/login,username=shopper05_183845,0,none,200,0,0.0,0.0,,,85.06,
2026-09-09T13:08:51.651294+00:00,20260909-183845,benign,203.0.113.7,POST,/api/auth/register,username=shopper06_183845,0,none,201,0,0.0,0.0,,,114.04,
2026-09-09T13:08:52.091207+00:00,20260909-183845,benign,203.0.113.7,POST,/api/auth/login,username=shopper06_183845,0,none,200,0,0.0,0.0,,,89.15,
2026-09-09T13:08:52.526268+00:00,20260909-183845,benign,203.0.113.8,POST,/api/auth/register,username=shopper07_183845,0,none,201,0,0.0,0.0,,,84.67,
2026-09-09T13:08:52.962308+00:00,20260909-183845,benign,203.0.113.8,POST,/api/auth/login,username=shopper07_183845,0,none,200,0,0.0,0.0,,,85.67,
