ts,run_id,generator,client_ip,method,path,payload,expected_label,attack_type,status,blocked,score,rule_score,ml_score,alerts,latency_ms,error
2026-08-22T15:02:32.718605+00:00,20260822-150232,credential_stuffing,203.0.113.202,POST,/api/auth/register,username=taylor.smith95@example.com,0,none,201,0,0.0,0.0,,,78.86,
2026-08-22T15:02:32.954234+00:00,20260822-150232,credential_stuffing,203.0.113.202,POST,/api/auth/register,username=jamie.brown18@example.com,0,none,201,0,0.0,0.0,,,85.34,
2026-08-22T15:02:33.212767+00:00,20260822-150232,credential_stuffing,203.0.113.202,POST,/api/auth/register,username=taylor.green95@example.com,0,none,201,0,0.4,0.4,,,107.96,
2026-08-22T15:02:33.440344+00:00,20260822-150232,credential_stuffing,203.0.113.202,POST,/api/auth/register,username=sam.wright55@example.com,0,none,201,0,0.4,0.4,,,77.21,
2026-08-22T15:02:33.597275+00:00,20260822-150232,credential_stuffing,203.0.113.202,POST,/api/auth/register,username=alex.jones28@example.com,0,none,403,1,1.0,1.0,,CREDENTIAL_STUFFING|USERNAME_SPRAY,6.48,
2026-08-22T15:02:33.752430+00:00,20260822-150232,credential_stuffing,203.0.113.202,POST,/api/auth/register,username=rowan.wright4@example.com,0,none,403,1,1.0,1.0,,CREDENTIAL_STUFFING|USERNAME_SPRAY,4.7,
2026-08-22T15:02:34.010432+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=taylor.smith95@example.com,1,credential_stuffing,401,0,0.0,0.0,,,107.38,
2026-08-22T15:02:34.266701+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=jamie.brown18@example.com,1,credential_stuffing,401,0,0.0,0.0,,,93.23,
2026-08-22T15:02:34.454333+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=taylor.green95@example.com,1,credential_stuffing,401,0,0.4,0.4,,,80.05,
2026-08-22T15:02:34.662472+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=sam.wright55@example.com,1,credential_stuffing,401,0,0.4,0.4,,,77.84,
2026-08-22T15:02:34.790775+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=alex.jones28@example.com,1,credential_stuffing,403,1,1.0,1.0,,AUTH_FAILURE_RATIO|CREDENTIAL_STUFFING|USERNAME_SPRAY,2.07,
2026-08-22T15:02:34.964742+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=rowan.wright4@example.com,1,credential_stuffing,403,1,1.0,1.0,,AUTH_FAILURE_RATIO|CREDENTIAL_STUFFING|USERNAME_SPRAY,2.39,
2026-08-22T15:02:35.136159+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=riley.adams84@example.com,1,credential_stuffing,403,1,1.0,1.0,,AUTH_FAILURE_RATIO|CREDENTIAL_STUFFING|USERNAME_SPRAY,5.17,
2026-08-22T15:02:35.324767+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=emerson.hall29@example.com,1,credential_stuffing,403,1,1.0,1.0,,AUTH_FAILURE_RATIO|CREDENTIAL_STUFFING|USERNAME_SPRAY,2.84,
2026-08-22T15:02:35.440726+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=finley.wilson1@example.com,1,credential_stuffing,403,1,1.0,1.0,,AUTH_FAILURE_RATIO|CREDENTIAL_STUFFING|USERNAME_SPRAY,2.74,
2026-08-22T15:02:35.587618+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=cameron.clark36@example.com,1,credential_stuffing,403,1,1.0,1.0,,AUTH_FAILURE_RATIO|CREDENTIAL_STUFFING|USERNAME_SPRAY,3.4,
2026-08-22T15:02:35.701779+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=riley.baker44@example.com,1,credential_stuffing,403,1,1.0,1.0,,AUTH_FAILURE_RATIO|CREDENTIAL_STUFFING|USERNAME_SPRAY,6.06,
2026-08-22T15:02:35.831478+00:00,20260822-150232,credential_stuffing,203.0.113.1,POST,/api/auth/login,username=sam.hall13@example.com,1,credential_stuffing,403,1,1.0,1.0,,AUTH_FAILURE_RATIO|CREDENTIAL_STUFFING|USERNAME_SPRAY,4.23,
